Category,Attribute,Count,Percentage
grocery,Additional Accolades,1,0.39215686274509803
grocery,Additional Ingredients,1,0.39215686274509803
grocery,Allergen Friendly,2,0.7843137254901961
grocery,Allergen Information,1,0.39215686274509803
grocery,Alternate Item #,1,0.39215686274509803
grocery,Auto Shut-Off,3,1.1764705882352942
grocery,Auto Shut-off,1,0.39215686274509803
grocery,Awards/Recognition,6,2.3529411764705883
grocery,BPA Free,2,0.7843137254901961
grocery,Bakery Environment,1,0.39215686274509803
grocery,Beverage Type,2,0.7843137254901961
grocery,Bottle Size (oz),1,0.39215686274509803
grocery,Brand,16,6.2745098039215685
grocery,Brewing Features,1,0.39215686274509803
grocery,Brewing Process,1,0.39215686274509803
grocery,Calories per Serving,1,0.39215686274509803
grocery,Capacity,11,4.313725490196078
grocery,Capacity (Volume),1,0.39215686274509803
grocery,Capacity (Weight),4,1.5686274509803921
grocery,Carafe Compatibility,1,0.39215686274509803
grocery,Carafe Type,5,1.9607843137254901
grocery,Certification,2,0.7843137254901961
grocery,Certifications,2,0.7843137254901961
grocery,Certifications/Awards,1,0.39215686274509803
grocery,Cleaning Cycle,2,0.7843137254901961
grocery,Cleaning Features,1,0.39215686274509803
grocery,Coffee Bean Origin,1,0.39215686274509803
grocery,Coffee Bean Type,2,0.7843137254901961
grocery,Coffee Type,1,0.39215686274509803
grocery,Color,1,0.39215686274509803
grocery,Compatibility,1,0.39215686274509803
grocery,Container Size,3,1.1764705882352942
grocery,Container Type,2,0.7843137254901961
grocery,Contains,1,0.39215686274509803
grocery,Cookie Varieties,1,0.39215686274509803
grocery,Description Type,1,0.39215686274509803
grocery,Design,1,0.39215686274509803
grocery,Dietary Certification,2,0.7843137254901961
grocery,Dietary Restrictions,2,0.7843137254901961
grocery,Dimensions,3,1.1764705882352942
grocery,Dimensions (L x W x H),2,0.7843137254901961
grocery,Dimensions (inches),1,0.39215686274509803
grocery,Dishwasher Safe,1,0.39215686274509803
grocery,Equipment Needed,1,0.39215686274509803
grocery,Features,1,0.39215686274509803
grocery,Fiber Content,1,0.39215686274509803
grocery,Filter Basket,3,1.1764705882352942
grocery,Flavor,6,2.3529411764705883
grocery,Flavor Profile,2,0.7843137254901961
grocery,Flavor/Variant,1,0.39215686274509803
grocery,Flavor/Variety,2,0.7843137254901961
grocery,Flavors Included,1,0.39215686274509803
grocery,Food Type,3,1.1764705882352942
grocery,Form,1,0.39215686274509803
grocery,Glass Type,1,0.39215686274509803
grocery,Grain Composition,1,0.39215686274509803
grocery,Grip Description,1,0.39215686274509803
grocery,Ideal For,1,0.39215686274509803
grocery,Indicator Light,1,0.39215686274509803
grocery,Ingredient Type,1,0.39215686274509803
grocery,Intended Use,2,0.7843137254901961
grocery,Manufacturer's Location,1,0.39215686274509803
grocery,Manufacturer/Brand,1,0.39215686274509803
grocery,Material,6,2.3529411764705883
grocery,Microwave Safe,1,0.39215686274509803
grocery,Model Number,2,0.7843137254901961
grocery,Net Weight per Unit,1,0.39215686274509803
grocery,Nutritional Highlights,2,0.7843137254901961
grocery,Pack Count,1,0.39215686274509803
grocery,Pack Quantity,1,0.39215686274509803
grocery,Pack Quantity (per Carton),1,0.39215686274509803
grocery,Pack Size (Weight),1,0.39215686274509803
grocery,Pack Size (oz),1,0.39215686274509803
grocery,Package Size,1,0.39215686274509803
grocery,Package Style,1,0.39215686274509803
grocery,Packaging,2,0.7843137254901961
grocery,Packaging Details,2,0.7843137254901961
grocery,Packaging Feature,1,0.39215686274509803
grocery,Packaging Per Unit,1,0.39215686274509803
grocery,Packaging Quantity,3,1.1764705882352942
grocery,Packaging Type,2,0.7843137254901961
grocery,Packing Type,6,2.3529411764705883
grocery,Pause & Serve,2,0.7843137254901961
grocery,Plastic Grade,1,0.39215686274509803
grocery,Premeasured,1,0.39215686274509803
grocery,Preparation Method,1,0.39215686274509803
grocery,Preservation Method,1,0.39215686274509803
grocery,Pricing Basis,2,0.7843137254901961
grocery,Product Code,10,3.9215686274509802
grocery,Product Code (Supplier),1,0.39215686274509803
